Engle og Dæmoner,Dan Brown,1. udgave fra 2005 på forlaget Gyldendal,ISBN: 87-03-00667-0,33259.jpg,30,4,Indb. 448sider. 726gram, Skønlitteratur, Romaner, Krimi/spænding,,,,,,,,
Borger i det gamle København,Jan Møller, fra 1966 på forlaget Gjellerups,,33912.jpg,25,4,"Borger i det gamle København på Frederik den Sjettes og Christian den Ottendes tid. 
Indb. 15,5x18,5cm, 130sider, illustreret. 318g.", Studiebøger, Lokalhistorie, Historie:Danmark,,,,,,,,
Ekspres SLANK - en udrensningskur,Ann Louise Gittleman," fra 2005 på forlaget Ekstra Bladet, Hft. 236sider. Udg.biblioteksbog i god stand",ISBN: 8777312015,33858.jpg,40,4,"Bogen leverer informativ og uddybende oplysning omkring udrensning og afgiftning, og den er samtidig en håndgribelig guide til en sundere og slankere krop. En hurtig kur til det lange løb.", Faglitteratur, Sundhed, Mad & gastronomi,,,,,,,,
Stormfulde Højder,Emily Brontë, fra 1966 på forlaget Gyldendals Bibliotek Verdenslitteratur,,33863.jpg,20,4,Hft. 330sider. 336gram, Skønlitteratur,,,,,,,,,,
"Pigebørn - eller Meg, Jo, Beth og Amy",Louise M. Alcott," fra 1991 på forlaget Høst &s;øn, indb. 223sider. Som ny",ISBN: 8714191326,33793.jpg,50,6,"Mange generationers elskede klassiker, uforkortet på dansk. Udgivet første gang 1868: Little women, or: Meg, Jo, Beth and Amy. Om livet i en familie i Amerika for over 100år siden", Amerika/USA, Romaner,,,,,,,,,
Engelsk-Dansk Synonym-Ordbog - Engelske synonymer forklaret på dansk,Henning Næsted,3. udgave fra 1954 på forlaget Grafisk,,33752.jpg,50,5,Indb. 534sider. God stand. Kun brugsspor på omslag., Studiebøger, Sprog, Engelsk,,,,,,,,
Eksotiske Fugle i Farver 2,A. Rutgers/Georg Møller, fra 1968 på forlaget Politiken,,33213.jpg,15,4,"indb. 135sider, illustreret med farvefotos. 207gram", Studiebøger, Zoologi, Fugle,,,,,,,,
Galathea i Østen,Hakon Mielche, fra 1952 på forlaget Steen Hasselbalch,,33618.jpg,30,5,"Indb. halvlæder, 190sider, illustreret. 691gram", Studiebøger, Opdagelsesrejser - ekspeditioner, Naturvidenskab,,,,,,,,
Livet i Danmark 1957-1967,Erik Nørgaard og Poul Smidt, fra 1970 på forlaget Hassings,ISBN: 87-561-0243-7,33902.jpg,100,5,"Indb. 24x30,5cm. 247sider. Fin stand", Historie:Kultur, Dokumentar,,,,,,,,,
Danske lyriske digte - Politikens digt-antologi 1,Mogens Brøndsted m.fl. (red.), fra 1960 på forlaget Politiken,,33864.jpg,20,3,Indb. 447sider. Udg.biblioteksbog. 420g., Skønlitteratur, Digte,,,,,,,,,
Kristelig Ethik,Søren Holm, fra 1963 på forlaget Hirschprungs,,33631.jpg,40,5,Indb. 450sider. Fin stand. 820gram., Studiebøger, Religion, Teologi,,,,,,,,
West Africa - guide book,Redaktion,5. udgave fra 2002 på forlaget Lonely Planet,ISBN: 1740592492,33194.jpg,40,4,"Hft. 895sider, illustreret. God stand, udv.brugsspor. 702g.", Rejsebøger/guides, Dokumentar, Afrika,,,,,,,,
Budapest - 315 farvefotos - historisk beskrivelse - engelsk tekst,Domokos Varga, fra 1990 på forlaget Corvina,ISBN: 963-13-2954-2,33653.jpg,30,6,"Indb. 26x30cm. 135sider, illustreret. Historisk beskrivelse. Engelsk tekst. 1073gram", Studiebøger, Historie:Kultur, Byer, Arkitektur,,,,,,,
Egelykke og andre skuespil - Kaj Munk mindeudgave,Kaj Munk, fra 1968 på forlaget Nyt Nordisk,,33433.jpg,20,5,"MINDEUDGAVE.
Skuespil:
Egelykke
Atterdag
Niels Ebbesen
Kongen
De Herrer Dommere 
Før Cannae
Ewalds Død
Hft. 312sider, uopskåret. Som ny. 474g.", Skønlitteratur, Skuespil,,,,,,,,,
Vor Salmebog og dens mænd,Herluf Jepsen," fra 1934 på Fyens boghandels forlag, Viggo Madsen",,33935.jpg,20,5,Hft. 236sider. 348g., Studiebøger, Religion, Biografier, Digte,,,,,,,
Biologi og Religion . menneskelig tilværelse set udfra naturvidenskabelig synsvinkel,B. R. Poulsen, fra 1968 på forlaget Munksgaard,,33830.jpg,20,5,Hft. 149sider. 152g., Studiebøger, Religion, Psykologi, Filosofi,,,,,,,
Värt at se i Sverige - En Reseguide,Per Wivall, fra 1995 på forlaget Bonniers,ISBN: 91-34-51567-4,33112.jpg,25,5,"Om alt hvad der er værd at se i Sverige, vist på overskuelig og smagfuld vis. Alfabetisk ordnet vejviser. Der viser vej gennem 25 landskaber. Indb. 352sider, illustreret med fotos og kort. Fin stand. 869g.", Rejsebøger/guides,,,,,,,,,,
Danmarks spiselige svampe - Kortfattet vejledning til at benytte svampene som næringsmiddel og til at undgaa forgiftninger ved dem.,C. Mundt,6. udgave fra 1943 på forlaget Gyldendal,,33257.jpg,25,5,"Også 32 opskrifter paa svamperetter af J. Freitag.
Indb. 12x18cm. 83sider + 32 farveplancher. Udg.biblioteksbog i fin stand. 257g.", Faglitteratur, Svampe,,,,,,,,,
Sjællands Stifts Landebog 1567 . kilder til Kirke- og Præstegodsets historie,Svend Gissel (red.), fra 1956 på forlaget Rosenkilde og Bagger,,33747.jpg,25,5,Indb. 259sider. 700g., Kirkehistorie, Historie:Kultur, Dokumentar,,,,,,,,
Gennembrud - Teknikker til udforskning af bevidstheden,Harry Palmer, fra 2000 på forlaget Avatar,ISBN: 87-987321-1-0,34086.jpg,30,6,Hft. 152sider. Som ny. 346g., Studiebøger, Spiritualitet, Psykologi, Personlig udvikling,,,,,,,
Gyldne gruk & andet godt,Piet hein," fra 2003 på forlaget Ugebladet Søndag. Paperback, 96sider, illustreret med tegninger",ISBN: 8798736566,33937.jpg,20,4,, Skønlitteratur, Humor,,,,,,,,,
Fisk på bordet. Opskrifter fra Skagen,Kim Wivel, fra 1979 på forlaget Berlingske ,ISBN: 87-19-05061-5,33559.jpg,25,4,"Indb. 68sider, fyldt med spændende opskrifter på fiskeretter. 298g.", Faglitteratur, Mad & gastronomi,,,,,,,,,
16 noveller,Anders Bodelsen, fra 1998 på forlaget Gyldendal,ISBN: 87-00-62064-5,33983.jpg,25,5,"Indhold: Rama Sama ; Snyd ; Isolation ; Det lyse rum ; Efter koncerten ; Hokus Pokus ; Lille sommerfugl ; December ; Hjælp ; Pointen ; Amelies øjne ; Ballast ; Privat skifte ; Jeg kommer til at løbe ; Vinden i palmerne ; Jeg forstår godt, du er vred. - Indb. 267 s. pæn stand. 474 g.", Skønlitteratur,,,,,,,,,,
"Kunstpanorama, om 48 billedkunstnere og kunsthåndværkere",Trine Ross,1. udgave fra 2006 på forlaget Billedkunstrådet,ISBN: 87-89074-33-5,34007.jpg,45,6,Indb. 22x28cm. 127sider illustreret med fotos af kunstværker. 799gram, Studiebøger, Kunsthistorie,,,,,,,,,
Antikvitetsårbogen 1963,Gunnar Buchwald og Kay Nielsen (red.), fra 1963 på forlaget Thaning og Appel,,33617.jpg,20,3,"Hft. 70 sider med artikler om antikviteter, bl.a. Kellinghusen fajancer og Gamle ure. 108sider med s/h illustrationer. 387 gram.", Studiebøger, Antikviteter,,,,,,,,,
Tankelæsning _ Telepati-tricks for børn og voksne,Claus Zimba Dalby, fra 1983 på forlaget Stavnsager,ISBN: 87-88455-08-4,33631.jpg,20,3,Udgået biblioteksbog. Indb. 56sider. illustreret. 329gram., Faglitteratur, Børnebøger,,,,,,,,,
Schade og kærligheden,Jens August Schade, fra 1973 på Stig Vendelkærs forlag,ISBN: 87-416-1364-3,33582.jpg,20,4,"Paperback, 167sider. 160gram.", Skønlitteratur, Digte,,,,,,,,,
Danmarks Dronning,Poul Jørgensen, fra 1995 på forlaget Børsen/bogklub 12 bøger,ISBN: 87-604-0161-3,33512.jpg,25,5,Indb. 283sider. illustreret. 1017gram., Studiebøger, Royale, militære, politikere m.m.,,,,,,,
Kvinder & Succes _ Du kan hvis du vil... Vil du ?,Irene Kassorla, fra 1980 på forlaget Bogan,ISBN: 87-7466-082-9,33574.jpg,30,4,Hft. 265sider. 443gram, Psykologi, Personlig udvikling,,,,,,,,,
Succes with English _  Coursebook 1,Geoffrey Broughton, fra 1977 på forlaget Penguin books,,33171.jpg,15,4,Lær engelsk efter naturmetoden. Illustreret med tegninger. God stand uden markeringer/notater. Hft. 303sider. 424gram., Studiebøger, Sprog, Engelsk,,,,,,,,
Kreditretlige Emner - om panteretlige forhold ved belåning af fast ejendom,Lennart Lynge Andersen. Henrik Gam. Peter Møgelvang-Hansen,1. udgave fra 1993 på forlaget Gads,ISBN: 87-12-02573-9,33938.jpg,25,3,"Hft. 138sider, markeringer i bogen. 257gram", Studiebøger,,,,,,,,,,
Luc - et ønskebarn - Virkelighedens Verden - Liza kunne ikke blive gravid - men hendes kusine trådte til som,Liza Freilicher og Jennifer Scheu med Suzanne Wetanson, fra 2001 på forlaget Egmont Wangel,ISBN: 87-608-1160-9,33665.jpg,20,6,"Hardback, 329sider. 458g.", Dokumentar,,,,,,,,,,
Aschehougs store babybog 0-3 år,Helle Andersen (red),1. udgave fra 2001 på forlaget Aschehoug,ISBN: 8711160373,33864.jpg,75,6,"For enhver nybagt familie. Her besvares alle spørgsmål om spædbarnet og de første tre år. 
Flot stor Indb. bog 23x29,5cm. 385sider, illustreret. 1858gram.", Studiebøger, Børn & forældre,,,,,,,,,
Danske veje - fra Oldtidsveje til nutidsveje i det danske landskab,Kristjan Bure (red), fra 1964 på forlaget Det Berlingske bogtrykkeri,,33775.jpg,20,5,"Oldtidsveje - Fra Middelalderens hjulspor til Chaussébrolægning - Vadesteder og broer - Færgesteder - Kroerne-Alfarvejens bedested - Vejene i det danske landskab - Vejene i det moderne samfund. Årbog 1964 Turistforeningen for Danmark. Hft. 128sider, illustreret med fotos og tegninger. 236g.", Studiebøger, Lokalhistorie, Historie:Kultur,,,,,,,,
Talegaver - en foredragsserie,"Lola Baidel, Ellen Heiberg, Herdis Møllehave og Keld Skov", på forlaget Klitrose. Hft. 111sider,ISBN: 87-87702-398,34008.jpg,40,5,"Ud fra en erkendelse af og tro på, at uanset hvor meget ord kan såre, lamme og ødelægge, er sproget en gave. Sproget kan, hvis vi bruger det og udvikler det, lære os en større forståelse. For nære forhold, men også på samfundsplan, hvor samtalen er tvingende nødvendig.", Kommunikation,,,,,,,,,,
FEM FRISTELSER - for den administrerende direktør,Patrick Lencioni, fra 1999 på forlaget Egmont Lademann. Hft. 111sider. Som ny,ISBN: 87-15-10176-2,33153.jpg,50,6,"Fem fristelser for den administrerende direktør har lige så mange gode råd og tips som traditionelle managementbøger, men sjældent er de blevet så underholdende serveret.", Personlig udvikling, Ledelse & Management,,,,,,,,,
Virksomhedsøkonomi og beslutningsanalyse,Preben Melander og Ove Hedegaard,1. udgave fra 1995 på forlaget Jurist- og Økonomforbundet,ISBN: 8757471029,33984.jpg,40,5,Hft. 231sider. Fin stand uden markeringer. 396g., Økonomi, Studiebøger,,,,,,,,,
Den lille Salmonsen - 12 bøger for 200kr,A.W.Marke og Palle Raunkjær (red.), fra 1937 på forlaget Schultz,,33162.jpg,200,4,"Indb. 12 flotte bind med læderryg, sælges for 200kr. Fuld af gamle s/h illustrationer samt landkort i farver.  God stand.", Studiebøger, Historie:Verden, Leksikon,,,,,,,,
Nissen der blev væk,Rina Dahlerup, fra 1997 på forlaget Apostrof,ISBN: 87-562-7641-9,33283.jpg,20,5,"Hardback, 20x27cm. illustreret med tegninger i farver. En sød lille historie, et juleeventyr til oplæsning for børn. God stand. 267g.", Skønlitteratur, Børnebøger,,,,,,,,,
Hvem Hvad Hvor 1969,Helge Larsen og Hjalmar Petersen (red.), fra 1969 på forlaget Politiken,,33199.jpg,25,4,Indb. 544sider. God stand. 465g., Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 1970,Hjalmar Petersen (red.), fra 1970 på forlaget Politiken,,33538.jpg,25,5,Indb. 511sider. God stand. 442g., Presse og Medier,,,,,,,,,,
Hvem Hvad Hvor 2000,Lennart Christensen (red.), fra 1999 på forlaget Politiken,ISBN: 87-00-64972-4,34081.jpg,40,5,Indb. 559sider. Fin stand. 1325g., Presse og Medier,,,,,,,,,,
Brixtofte - Spillet om magten,Tórun Ellingsgaard og Jaku-Lina Elbøl Nielsen,1. udgave fra 2002 på forlaget Aschehoug,ISBN: 87-11-11581-5,33677.jpg,35,6,"Verden ramler om ørerne på landets mest idérige borgmester, Peter Brixtofte, og Farum Kommune. Med Brixtofte ved roret er kommunekassen blevet drænet i et hidtil uset omfang, og hans dispositioner har sendt kommunen ud i et økonomisk kaos. - Hft. 324sider, illustreret. Som ny. 583g.", Studiebøger, Politik, Biografier,,,,,,,,
Grundtvig Studier - Årshæfterne 1970-1988,Gustav Albeck og William Michelsen (red), på forlaget Grundtvig-selskabet,,,25,5,"Årshæfterne, 1970/1971/1972/1973/1974/1975/1979/1980/1981/1982/1983/1984/1985/1986/1987/1988 - sælges for 25kr/stk. Eller tilbud", Studiebøger, Teologi,,,,,,,,,
Grundtvig Studier - Årshæfterne 1989-1999,"Gustav Albeck og William Michelsen, m.fl. (red)", på forlaget Grundtvig-selskabet,ISBN: 87-88243-12-5,,30,5,"Årshæfterne, 1989-90/1991/1992/1993/1994/1995/1996/1997/1998/1999 - sælges for 30kr/stk. Eller tilbud", Studiebøger, Teologi,,,,,,,,,
Møde i Wien,Margit Söderholm, fra 1953 på forlaget Steen Hasselbalch,,33633.jpg,20,4,"Indb. halvlæder, 226sider. 577gram", Skønlitteratur, Romaner,,,,,,,,,
Kyra,Kyra Petrovskaya, fra 1960 på forlaget Grafisk,,33259.jpg,25,5,Indb. 343sider. 505gram, Erindringer, Biografier,,,,,,,,,
En fortælling om kærlighed og mørke,Amos Oz, fra 2005 på forlaget Gyldendal,ISBN: 87-03-00827-4,34029.jpg,40,5,"Erindringsroman om Amos Oz' familie, om det jødiske folks historie og om staten Israels oprettelse. Paperback, 631sider. 921gram", Skønlitteratur, Romaner, Erindringer,,,,,,,,
Colorado Drømme - om den modne passion,Jane Aamund,1. udgave fra 1997 på forlaget Høst og aøn,ISBN: 87-14-29395-1,33518.jpg,20,3,Hft. 323sider. Alm.brugsspor udvendig. 493g., Skønlitteratur,,,,,,,,,,
Et barn forsvinder,Mary Napier, fra 1988 på forlaget Bogsamleren,ISBN: 87-7531-318-9,34007.jpg,25,6,"Prisbelønnet roman, for sin meget virkelighedsnære beskrivelser af Argentina, og tiden under generalernes terrorregime, såvel som for den utrolig spændende handling. Indb. 287sider. 407gram.", Skønlitteratur, Romaner,,,,,,,,,
Mad fra Asien,Morten Heiberg,"1. udgave fra 2007 på forlaget Politikken. Indb. 25x28cm, 156 sider, som ny,",ISBN: 9788756771023,33712.jpg,75,6,, Faglitteratur, Mad & gastronomi, Kogebøger,,,,,,,,
Sådan - Havebog for begyndere,Jørgen Vittrup,"1. udgave fra 2005 på forlaget Gyldendal, Indb. 18x17cm. 153sider, illustreret. Som ny",ISBN: 87-02-03262-7,33115.jpg,40,6,"Sådan passer du din have. Bogen beskriver hvordan man gør de mest banale ting, praktisk og rationelt.
Med gode gamle tricks gives præcis vejledning om de nødvendigste redskaber til havearbejdet.", Faglitteratur, Hus & have,,,,,,,,,
Brand - Gyldendals Skoleutgaver av Norske Forfattere,Henrik Ibsen, fra 1950 på forlaget Gyldendal norsk,,33991.jpg,15,4,"Hft. 182 sider, pæn stand. 230g.", Studiebøger, Skuespil,,,,,,,,,
Øen i Sydhavet - Roman i 2 dele,Adam Oehlenschläger, fra 1904 på forlaget Nordisk,,33942.jpg,20,3,"Antikvarisk. Indb. i 2 bøger, 345 + 356sider. Der er fugtskjold og brugsspor - bøgerne vejer 729gram", Skønlitteratur, Romaner,,,,,,,,,
Jeg maler mit liv - en romanbiografi om kunstneren og kvinden Frida Kahlo,Ester Bock,1. udgave fra 2002 på forlaget Lindhardt og Ringhof,ISBN: 87-595-1628-3,33882.jpg,35,6,Hft. 260sider. Som ny. 439gram., Studiebøger, Kunst & kultur, Romaner, Biografier,,,,,,,
Jagten på den forsvundne Julestjerne - en julehistorie i 24 afsnit,Bent Faueby - Irene Hedlund - Dina Gellert," fra 2001 på forlaget Forum. 18x30cm. 80sider, illustreret med tegninger. Som ny",ISBN: 87-553-3192-0,33544.jpg,30,6,, Børnebøger,,,,,,,,,,
Patchwork,Gertrud Ingers, fra 1977 på forlaget Notabene,ISBN: 8774901451,33849.jpg,30,5,Indb. 89sider. Fin stand. 442gram., Faglitteratur, Håndarbejde/hobby/håndværk,,,,,,,,,
Cognitive Rehabilitation - An Integrative Neuropsychological Approach,McKay Moore Sohlberg and Catherine A. Mateer," fra 2001 på forlaget The Guilford Press. 492sider, som ny uden markeringer",ISBN: 1-57230-613-0,33471.jpg,125,6,"This new volume provides a comprehensive overview of this fast-evolvin g field. More than a revised edition, the text reflects the dramatic i mpact of recent advances in neuroscience and computer technology, coup led with changes in service delivery models. The authors describe a br oad range of clinical interventions for assisting persons with acquire d cognitive impairments--including deficits in attention, memory, exec utive functions, and communication--and for managing associated emotio nal and behavioral issues. For each approach, theoretical underpinning s are reviewed in depth and clinical protocols delineated. Difficult c oncepts are explained in a clear, straightforward fashion, with realis tic case examples bringing the material to life. Also included are sam ples of relevant assessment instruments, rating scales, and patient ha ndouts. Throughout, the new volume emphasizes the need to work from a community perspective, providing a framework for forming collaborative partnerships with families and caregivers.", Studiebøger,,,,,,,,,,
København,Palle Lauring,2. udgave fra 1982 på forlaget Forum,ISBN: 8755311628,33225.jpg,40,4,Indb. 288sider. illustreret s/h fotos. 725gram, Samfund & historie, Dokumentar, Byer, Lokalhistorie,,,,,,,
Demens på rette vej,Johnna Baggers,1. udgave fra 2006 på forlaget Zalamanca - Hft. 128sider. Som ny,ISBN: 87-988809-7-7,33471.jpg,100,6,"»Kærlighed, respekt og forståelse lyser ud af bogens sider, hvor læseren får lov til at opleve forfatternes praktiske livserfaring på en sådan måde, at man næsten automatisk siger til sig selv, at sådan skal det bare være! Det kan ikke være rigtigt, at ældre, som ikke længere har fuldt overblik over deres situation og måske reagerer aggressivt af samme grund, blot skal dysses ned med medicin. Det er de nuværende ældregenerationer, som har skabt vores overskudssamfund, og de har ret til en kærlig, indsigtsfuld og ordentlig behandling. De har ret til respekt for deres livshistorie og fortællinger, til forståelse og til, at nogen har tid til at høre på dem. 

Alle, der har med demente at gøre eller arbejder på plejehjem og i ældreomsorgen i øvrigt, bør læse denne bog. Det bør de pårørende også, så de kan få et mål for, hvordan deres nære bør hjælpes og tages hånd om i hverdagen, når de ikke længere selv har styr på tingene. Politikerne, som har ansvaret for de nødvendige ressourcer, bør også læse bogen og tænke på, at det niveau i plejen, de fastlægger, måske en dag bliver deres egne vilkår.«", Sygdom/sundhed, Studiebøger, Samfundsvidenskab, Faglitteratur,,,,,,,
Troubadurens Lærling,Ib Michael, fra 1985 på forlaget Gyldendal,ISBN: 87-01-14902-4,33766.jpg,25,5,"Indb. 281 sider, 457 gram.", Skønlitteratur, Romaner,,,,,,,,,
Det Danske Landbrugs Historie 1-4,Claus Bjørn m.fl. (Red.), fra 1988 på forlaget Landbohistorisk Selskab,ISBN: 87-7526-082-4,33437.jpg,450,6,"4 bøger Indb. m. smudsomslag. 416+393+429+355sider. 
Som nye. 4,4kg.", Studiebøger, Samfund & historie, Landbrug & gartneri,,,,,,,,
Alverdens Fortællere,Sigurd Hoel (red.), fra 1952 på forlaget Steen Hasselbalch,,33589.jpg,35,5,Indb. læderryg 642s. Fin stand. 1022gram, Studiebøger, Skønlitteratur,,,,,,,,,
Natten uden nåde / Julie Homburg 1+2,Sarah Gainham, fra 1969 på forlaget Union,,33796.jpg,25,4,2 indb. bøger 266 + 265sider. 756g., Skønlitteratur,,,,,,,,,,
Litteraturkritikkens principper,I.A. Richards, fra 1968 på forlaget Paludans fiol-bibliotek,,33780.jpg,20,4,Hft. 250sider. 292g., Litteraturvidenskab,,,,,,,,,,
Guvernøren,J. Bech Nygaard, på forlaget Union,,33276.jpg,15,4,Indb. 286sider. 419g., Skønlitteratur, Romaner,,,,,,,,,
"Vore Børnesange - melodier og billeder, 2.samling","Ill. af Louis Moe, Hedvig Collin og Axel Nygaard"," på Wilhelm Hansen, Musikforlag",,33275.jpg,40,3,12 børnesange med noder og illustration. Indb. med kartonbind. Udg.biblioteksbog med brugsspor. 24x30cm. 30sider. 430g., Musik, Børnebøger,,,,,,,,,
Foraaret saa sagte kommer,Kaj Munk, fra 1959 på forlaget Nyt Nordisk,,33257.jpg,20,4,Indb. 352sider. 579g., Studiebøger, Erindringer, Biografier,,,,,,,,
Bondehuses alder,"Peter Michelsen, Nationalmuseet", fra 1979 på forlaget Nationalmuseet,ISBN: 87-480-0198-8,33359.jpg,20,6,"Hft. 55sider, illustreret. 123gram.", Studiebøger, Arkitektur,,,,,,,,,
Når porten åbner sig - efter ti års indespærring i Malaysia,Béatrice Saubin, fra 1996 på forlaget Lindhardt og Ringhof,ISBN: 87-595-0590-7,33796.jpg,20,4,"Indb. 143sider, brugt biblioteksbog, udv.brugsspor. 347g.", Erindringer, Dokumentar,,,,,,,,,
En digters Bazar 1+2 - Rejseoplevelser.,H.C.Andersen, på forlaget Lademann,,33704.jpg,50,5,Om H.C.Andersens rejseoplevelser med egne illustrationer. 2 indb. bøger med guldtryk. 489sider. 1031gram., Studiebøger, Erindringer, Fortællinger,,,,,,,,
Improvisatoren,H.C.Andersen, på forlaget Lademann,,33654.jpg,30,5,Indb. m. guldtryk og illustreret med tegninger af Ebbe Sadolin. 351sider. 669g., Skønlitteratur,,,,,,,,,,
Stygge Krumpen 1+2,Thit Jensen, på forlaget Lademann,,33189.jpg,40,6,2 bøger indb. m. guldsnit og illustreret med tegninger af Svend Otto S. 263 + 286sider. Som ny. 1086g., Skønlitteratur,,,,,,,,,,
